Header Row Count,3,Header Row Count,name,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,date # 8,day of week #1,day of week #2,day of week #3,day of week #4,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,short string #7,short string #8,gender #1,gender #2,gender #3,gender #4,ss #1,ss #2,url #1,url #2,y or n #1,y or n #2,y or n #3,y or n #4,short int #1,short int #2,short int #3,short int #4,short int #5,short int #6,short int #7,short int #8,short int #9,short int #10,short int #11,short int #12,long string #1,long string #2,long string #3,long string #4,long string #5,long string #6,long string #7,long string #8,float #1,float #2,float #3,float #4,float #5,float #6,float #7,float #8
integer,integer,integer,text,date,date,date,date,date,date,date,date,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,integer,integer,integer,integer,integer,integer,integer,integer,integer,integer,integer,integer,text,text,text,text,text,text,text,text,float,float,float,float,float,float,float,float
1,1,100001,Record # :001,1/1/13,11/12/13,11/12/13,1/1/13,11/12/13,11/12/13,1/1/13,1/1/13,Tuesday,Tue,Tuesday,Tue,AAAA,AAAA,ZZZZ,aaaa,aaaa,zzzz,AAAA,aaaa,m,m,m,m,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,1,1,1001,1001,1234,2345,3456,4567,12345,23456,34567,45678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-AAAA-ZZZZ-aaaa,0.001,1,1,10.01,0.001,1,0.1,10.01
2,2,100002,Record # :002,1/2/13,11/12/13,11/12/13,1/2/13,11/12/13,11/12/13,1/2/13,1/2/13,Wednesday,Wed,Wednesday,Wed,AAAA,BBBB,YYYY,aaaa,bbbb,yyyy,AAAA,bbbb,f,f,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,2,2,1002,1002,1235,2355,3556,5567,12346,23466,34667,46678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-BBBB-YYYY-aaaa,0.002,1.001,1.001,10.011,0.002,1.001,0.101,10.011
3,3,100003,Record # :003,1/3/13,11/12/13,11/12/13,1/3/13,11/12/13,11/12/13,1/3/13,1/3/13,Thursday,Thu,Thursday,Thu,AAAA,CCCC,XXXX,aaaa,cccc,xxxx,AAAA,cccc,m,b,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,yes,y,3,3,1003,1003,1236,2365,3656,6567,12347,23476,34767,47678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-CCCC-XXXX-aaaa,0.003,1.002,1.002,10.012,0.003,1.002,0.102,10.012
4,4,100004,Record # :004,1/4/13,11/12/13,11/12/13,1/4/13,11/12/13,11/12/13,1/4/13,1/4/13,Friday,Fri,Friday,Fri,AAAA,DDDD,WWWW,aaaa,dddd,wwww,AAAA,dddd,f,g,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,no,n,4,4,1004,1004,1237,2375,3756,7567,12348,23486,34867,48678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-DDDD-WWWW-aaaa,0.004,1.003,1.003,10.013,0.004,1.003,0.103,10.013
5,5,100005,Record # :005,1/5/13,11/12/13,11/12/13,1/5/13,11/12/13,11/12/13,1/5/13,1/5/13,Saturday,Sat,Saturday,Sat,AAAA,EEEE,VVVV,aaaa,eeee,vvvv,AAAA,eeee,m,m,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,1,y,5,5,1005,1005,1238,2385,3856,8567,12349,23496,34967,49678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-EEEE-VVVV-aaaa,0.005,1.004,1.004,10.014,0.005,1.004,0.104,10.014
6,6,100006,Record # :006,1/6/13,11/12/13,11/12/13,1/6/13,11/12/13,11/12/13,1/6/13,1/6/13,Sunday,Sun,Sunday,Sun,AAAA,FFFF,UUUU,aaaa,ffff,uuuu,AAAA,ffff,f,f,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,0,n,6,6,1006,1006,1239,2395,3956,9567,12350,23506,35067,50678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-FFFF-UUUU-aaaa,0.006,1.005,1.005,10.015,0.006,1.005,0.105,10.015
7,7,100007,Record # :007,1/7/13,11/12/13,11/12/13,1/7/13,11/12/13,11/12/13,1/7/13,1/7/13,Monday,Mon,Monday,Mon,AAAA,GGGG,TTTT,aaaa,gggg,tttt,AAAA,gggg,m,b,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,7,7,1007,1007,1240,2405,4056,10567,12351,23516,35167,51678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-GGGG-TTTT-aaaa,0.007,1.006,1.006,10.016,0.007,1.006,0.106,10.016
8,8,100008,Record # :008,1/8/13,11/12/13,11/12/13,1/8/13,11/12/13,11/12/13,1/8/13,1/8/13,Tuesday,Tue,Tuesday,Tue,AAAA,HHHH,SSSS,aaaa,hhhh,ssss,AAAA,hhhh,f,g,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,8,8,1008,1008,1241,2415,4156,11567,12352,23526,35267,52678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-HHHH-SSSS-aaaa,0.008,1.007,1.007,10.017,0.008,1.007,0.107,10.017
9,9,100009,Record # :009,1/9/13,11/12/13,11/12/13,1/9/13,11/12/13,11/12/13,1/9/13,1/9/13,Wednesday,Wed,Wednesday,Wed,AAAA,IIII,RRRR,aaaa,iiii,rrrr,AAAA,iiii,m,m,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,9,9,1009,1009,1242,2425,4256,12567,12353,23536,35367,53678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,next row is empty,Mary Smith,next row has numbers,0.009,1.008,1.008,10.018,0.009,1.008,0.108,10.018
